,Name,MC_USD_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_INR_Billion
0,JPMorgan Chas,432.9,402.6,346.32,35909.06
1,Bank of Americ,231.5,215.3,185.2,19202.92
2,Industrial and Commercial Bank of Chin,194.5,180.89,155.6,16133.78
3,Agricultural Bank of Chin,160.6,149.36,128.48,13321.77
4,HDFC Ban,157.9,146.85,126.32,13097.8
5,Wells Farg,155.8,144.89,124.64,12923.61
6,HSBC Holdings PL,148.9,138.48,119.12,12351.26
7,Morgan Stanle,140.8,130.94,112.64,11679.36
8,China Construction Ban,139.8,130.01,111.84,11596.41
9,Bank of Chin,136.8,127.22,109.44,11347.56
